,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
20 Gbaud,6,7,8,6,3,6
22 Gbaud,-7,-8,-7,-9,-12,-10
24 Gbaud,15,13,14,10,8,10
25 Gbaud,7,6,7,5,1,4
26 Gbaud,1,-1,0,-2,-5,-3
27 Gbaud,-7,-9,-7,-10,-13,-11
29 Gbaud,13,12,13,11,8,10
30 Gbaud,7,6,7,4,2,4
31 Gbaud,1,-1,0,-2,-5,-2
33 Gbaud,-4,-5,-4,-7,-9,-7
34 Gbaud,-6,-7,-6,-9,-11,-9
35 Gbaud,14,13,15,11,9,11
36 Gbaud,11,10,13,9,6,9
37 Gbaud,7,6,7,5,2,5
38 Gbaud,1,0,2,0,-3,0
39 Gbaud,-2,-3,-2,-4,-6,-4
40 Gbaud,-6,-7,-6,-8,-10,-8
41 Gbaud,-8,-10,-9,-11,-13,-11
42 Gbaud,-10,-11,-10,-13,-15,-13
43 Gbaud,-14,-14,-13,-17,-19,-17
44 Gbaud,-18,-18,-16,-19,-22,-19
45 Gbaud,-23,-23,-21,-24,-26,-24
46 Gbaud,-4,-5,-4,-6,-9,-7
47 Gbaud,-8,-9,-10,-9,-12,-9
48 Gbaud,-14,-15,-13,-15,-18,-15
49 Gbaud,3,2,3,1,-1,1
50 Gbaud,0,0,1,-2,-6,-2
51 Gbaud,-1,-2,0,-3,-6,-3
52 Gbaud,-4,-5,-3,-5,-8,-5
53 Gbaud,-7,-8,-6,-8,-11,-8
54 Gbaud,-10,-11,-8,-11,-14,-10
55 Gbaud,6,5,7,5,2,6
56 Gbaud,2,1,3,0,-2,2
57 Gbaud,0,0,2,-1,-4,0
58 Gbaud,-1,-3,0,-2,-5,-1
59 Gbaud,-5,-6,-4,-6,-9,-5
60 Gbaud,10,8,11,7,5,10
